GAME_NAME,DATE,HOME_TEAM_RANK,HOME_TEAM,AWAY_TEAM_RANK,AWAY_TEAM
,"Thursday, September 01, 2016",19,Louisville,,Charlotte
,"Thursday, September 01, 2016",9,Tennessee,,Appalachian State
,"Thursday, September 01, 2016",,Vanderbilt,,South Carolina
,"Friday, September 02, 2016",12,Michigan State,,Furman
,"Friday, September 02, 2016",23,Baylor,,Northwestern State
,"Friday, September 02, 2016",8,Stanford,,Kansas State
Texas Kickoff,"Saturday, September 03, 2016",15,Houston,3,Oklahoma
,"Saturday, September 03, 2016",6,Ohio State,,Bowling Green
,"Saturday, September 03, 2016",7,Michigan,,Hawaii
,"Saturday, September 03, 2016",,Mississippi State,,South Alabama
,"Saturday, September 03, 2016",,West Virginia,,Missouri
,"Saturday, September 03, 2016",14,Washington,,Rutgers
,"Saturday, September 03, 2016",,Texas A&M,16,UCLA
Lambeau Field College Classic,"Saturday, September 03, 2016",,Wisconsin,5,LSU
,"Saturday, September 03, 2016",17,Iowa,,Miami (OH)
,"Saturday, September 03, 2016",21,Oklahoma State,,Southeastern Louisiana
,"Saturday, September 03, 2016",,Arkansas,,Louisiana Tech
,"Saturday, September 03, 2016",24,Oregon,,UC Davis
Chick-Fil-A Kickoff,"Saturday, September 03, 2016",18,Georgia,22,North Carolina
,"Saturday, September 03, 2016",,Kentucky,,Soutner Miss
,"Saturday, September 03, 2016",25,Florida,,Massachusetts
Advocare Classic,"Saturday, September 03, 2016",1,Alabama,20,USC
,"Saturday, September 03, 2016",13,TCU,,South Dakota State
,"Saturday, September 03, 2016",,Auburn,2,Clemson
,"Sunday, September 04, 2016",,Texas,10,Notre Dame
Orlando Kickoff,"Monday, September 05, 2016",4,Florida State,11,Ole Miss
,,,,,
,,,,,
,,,,,
