,Florida Intl,,Maryland
,Syracuse,#13,Louisville
#22,Oklahoma State,,Central Michigan
,East Carolina,,NC State
,Pittsburgh,,Penn State
#5,Michigan,,UCF
,Purdue,,Cincinnati
#6,Houston,,Lamar
,Rutgers,,Howard
,Minnesota,,Indiana State
,Army,,Rice
,Massachusetts,,Boston College
#9,Georgia,,Nicholls
#20,Texas A&M,,Prairie View A&M
,Nebraska,,Wyoming
#3,Florida State,,Charleston Southern
#2,Clemson,,Troy
,Temple,,Stony Brook
,Air Force,,Georgia State
,USC,,Utah State
,West Virginia,,Youngstown State
,Kansas,,Ohio
,Georgia Tech,,Mercer
,Bowling Green,,North Dakota
,Navy,,Connecticut
,Northwestern,,Illinois State
#4,Ohio State,,Tulsa
,Miami (OH),,Eastern Illinois
,Duke,,Wake Forest
,Appalachian State,,Old Dominion
#10,Wisconsin,,Akron
#18,Notre Dame,,Nevada
,Florida,,Kentucky
#1,Alabama,,Western Kentucky
#23,Baylor,,SMU
#19,Ole Miss,,Wofford
,Indiana,,Ball State
,Colorado State,,Texas San Antonio
,Vanderbilt,,Middle Tennessee
,San José State,,Portland State
#8,Washington,,Idaho
,Colorado,,Idaho State
,Marshall,,Morgan State
,Charlotte,,Elon
,Kent State,,North Carolina A&T
#25,Miami,,Florida Atlantic
,South Alabama,,Georgia Southern
,Louisiana Lafayette,,McNeese
#14,Oklahoma,,Louisiana Monroe
,Western Michigan,,North Carolina Central
,Toledo,,Maine
,South Florida,,Northern Illinois
,North Texas,,Bethune-Cookman
,Louisiana Tech,,South Carolina State
,Southern Mississippi,,Savannah State
#11,Texas,,UTEP
,Mississippi State,,South Carolina
#15,TCU,,Arkansas
,Auburn,,Arkansas State
#16,Iowa,,Iowa State
,Utah,,BYU
,Missouri,,Eastern Michigan
#21,LSU,,Jacksonville State
,Illinois,,North Carolina
,Tulane,,Southern
#17,Tennessee,,Virginia Tech
,UCLA,,UNLV
,New Mexico State,,New Mexico
,Fresno State,,Sacramento State
,Arizona State,,Texas Tech
,Boise State,,Washington State
,San Diego State,,California
#24,Oregon,,Virginia
,Arizona,,Grambling State
,Hawai'i,,Tennessee-Martin
